year,month,siteid,UNIT_NAME,pud,tud,aud,eud,d2p
2020,Feb,NAT_091,Ashley National Forest,0,10,5,2,2020-02-15
2020,Feb,NAT_092,Fishlake National Forest,0,8,0,1,2020-02-15
2020,Feb,NAT_093,Boise National Forest,2,7,11,23,2020-02-15
2020,Feb,NAT_094,Uinta-Wasatch-Cache National Forest,12,145,639,132,2020-02-15
2020,Feb,NAT_095,Manti-La Sal National Forest,1,59,1,7,2020-02-15
2020,Feb,NAT_096,Dixie National Forest,4,5,27,5,2020-02-15
2020,Feb,NAT_097,Sierra National Forest,2,46,79,17,2020-02-15
2020,Feb,NAT_098,Willamette National Forest,1,17,145,17,2020-02-15
2020,Feb,NAT_099,Fremont-Winema National Forest,1,1,2,18,2020-02-15
2020,Feb,NAT_100,Wallowa-Whitman National Forest,0,8,1,7,2020-02-15
2020,Feb,NAT_101,Colville National Forest,1,9,5,6,2020-02-15
2020,Feb,NAT_102,Okanogan-Wenatchee National Forest,11,28,111,50,2020-02-15
2020,Feb,NAT_103,Umatilla National Forest,0,10,0,1,2020-02-15
2020,Feb,NAT_104,Rogue River-Siskiyou National Forests,7,12,37,11,2020-02-15
2020,Feb,NAT_105,Mt. Baker-Snoqualmie National Forest,29,112,407,22,2020-02-15
2020,Feb,NAT_106,Ochoco National Forest,1,0,15,9,2020-02-15
2020,Feb,NAT_107,Deschutes National Forest,18,40,176,70,2020-02-15
2020,Feb,NAT_108,Columbia River Gorge National Scenic Area,7,56,428,55,2020-02-15
2020,Feb,NAT_109,Mt. Hood National Forest,23,71,283,14,2020-02-15
2020,Feb,NAT_110,Gifford Pinchot National Forest,5,27,105,4,2020-02-15
2020,Feb,NAT_111,Francis Marion and Sumter National Forests,3,5,97,43,2020-02-15
2020,Feb,NAT_112,National Forests in North Carolina,9,50,784,68,2020-02-15
2020,Feb,NAT_113,National Forests in Mississippi,1,12,29,18,2020-02-15
2020,Feb,NAT_114,Umpqua National Forest,3,8,33,2,2020-02-15
2020,Feb,NAT_115,Land Between the Lakes National Recreation Area,0,2,46,14,2020-02-15
2020,Feb,NAT_116,Mark Twain National Forest,6,9,93,10,2020-02-15
2020,Feb,NAT_117,Hiawatha National Forest,0,9,5,33,2020-02-15
2020,Feb,NAT_118,Daniel Boone National Forest,1,11,259,7,2020-02-15
2020,Feb,NAT_119,George Washington and Jefferson National Forest,2,24,258,78,2020-02-15
2020,Feb,NAT_120,Cherokee National Forest,3,20,173,7,2020-02-15
2020,Feb,NAT_121,National Forests in Texas,1,7,102,51,2020-02-15
2020,Feb,NAT_122,Chequamegon-Nicolet National Forest,2,6,5,21,2020-02-15
2020,Feb,NAT_123,Wayne National Forest,0,3,16,28,2020-02-15
2020,Feb,NAT_124,Hoosier National Forest,0,4,75,4,2020-02-15
2020,Feb,NAT_125,Huron-Manistee National Forest,2,221,14,31,2020-02-15
2020,Feb,NAT_126,Superior National Forest,0,3,19,141,2020-02-15
2020,Feb,NAT_127,Shawnee National Forest,0,2,58,12,2020-02-15
2020,Feb,NAT_128,Chippewa National Forest,0,1,0,1,2020-02-15
2020,Feb,NAT_129,Monongahela National Forest,0,23,34,14,2020-02-15
2020,Feb,NAT_130,Ottawa National Forest,3,1,3,6,2020-02-15
2020,Feb,NAT_131,National Forests in Florida,1,18,68,88,2020-02-15
2020,Feb,NAT_132,Chattahoochee-Oconee National Forests,4,51,546,19,2020-02-15
2020,Feb,NAT_133,National Forests in Alabama,0,10,158,11,2020-02-15
2020,Feb,NAT_134,Midewin National Tallgrass Prairie,0,1,1,5,2020-02-15
2020,Feb,NAT_135,Chugach National Forest,6,62,14,48,2020-02-15
2020,Feb,NAT_136,Parker River National Wildlife Refuge,3,0,2,378,2020-02-15
2020,Feb,NAT_137,Baskett Slough National Wildlife Refuge,0,0,4,42,2020-02-15
2020,Feb,NAT_138,Rocky Mountain Arsenal National Wildlife Refuge,5,63,7,93,2020-02-15
2020,Feb,NAT_139,Pinckney Island National Wildlife Refuge,3,2,7,72,2020-02-15
2020,Feb,NAT_140,Ridgefield National Wildlife Refuge,7,0,2,157,2020-02-15
2020,Feb,NAT_141,Arthur R. Marshall Loxahatchee National Wildlife Refuge,10,6,2,167,2020-02-15
2020,Feb,NAT_142,San Diego National Wildlife Refuge,1,12,48,8,2020-02-15
2020,Feb,NAT_143,Okefenokee National Wildlife Refuge,1,4,2,21,2020-02-15
2020,Feb,NAT_144,Harris Neck National Wildlife Refuge,0,0,0,27,2020-02-15
2020,Feb,NAT_145,Tijuana Slough National Wildlife Refuge,1,0,5,84,2020-02-15
2020,Feb,NAT_146,Wolf Creek National Fish Hatchery,0,0,0,0,2020-02-15
2020,Mar,NAT_001,Great Smoky Mountains National Park,9,59,888,103,2020-03-15
2020,Mar,NAT_002,Lincoln Memorial,7,55,0,0,2020-03-15
2020,Mar,NAT_003,Grand Canyon National Park,38,198,347,110,2020-03-15
2020,Mar,NAT_004,World War II Memorial,3,7,0,0,2020-03-15
2020,Mar,NAT_005,Rocky Mountain National Park,2,41,404,22,2020-03-15
2020,Mar,NAT_006,Vietnam Veterans Memorial,0,6,0,0,2020-03-15
2020,Mar,NAT_007,Independence National Historical Park,3,27,0,1,2020-03-15
2020,Mar,NAT_008,Zion National Park,24,20,460,70,2020-03-15
